Subject ID,Slice Index,sequence,Motion_Level,DISTS
brain_AXT1PRE_200_6002204,0,t1,g1,0.029327869415283203
brain_AXT1PRE_200_6002204,1,t1,g1,0.03236788511276245
brain_AXT1PRE_200_6002204,2,t1,g1,0.010974526405334473
brain_AXT1PRE_200_6002204,3,t1,g1,0.04499536752700806
brain_AXT1PRE_200_6002204,4,t1,g1,0.03705543279647827
brain_AXT1PRE_200_6002204,5,t1,g1,0.018538951873779297
brain_AXT1PRE_200_6002204,6,t1,g1,0.010756254196166992
brain_AXT1PRE_200_6002204,7,t1,g1,0.010477781295776367
brain_AXT1PRE_200_6002204,8,t1,g1,0.009838640689849854
brain_AXT1PRE_200_6002204,9,t1,g1,0.026809275150299072
brain_AXT1PRE_200_6002186,0,t1,g1,0.03760939836502075
brain_AXT1PRE_200_6002186,1,t1,g1,0.028175652027130127
brain_AXT1PRE_200_6002186,2,t1,g1,0.013222575187683105
brain_AXT1PRE_200_6002186,3,t1,g1,0.028336286544799805
brain_AXT1PRE_200_6002186,4,t1,g1,0.008164048194885254
brain_AXT1PRE_200_6002186,5,t1,g1,0.013474643230438232
brain_AXT1PRE_200_6002186,6,t1,g1,0.014948606491088867
brain_AXT1PRE_200_6002186,7,t1,g1,0.007092118263244629
brain_AXT1PRE_200_6002186,8,t1,g1,0.0035050511360168457
brain_AXT1PRE_200_6002186,9,t1,g1,0.01872563362121582
brain_AXT1PRE_203_6000635,0,t1,g1,0.02051246166229248
brain_AXT1PRE_203_6000635,1,t1,g1,0.026730835437774658
brain_AXT1PRE_203_6000635,2,t1,g1,0.041788458824157715
brain_AXT1PRE_203_6000635,3,t1,g1,0.0034427642822265625
brain_AXT1PRE_203_6000635,4,t1,g1,0.013008952140808105
brain_AXT1PRE_203_6000635,5,t1,g1,0.014361083507537842
brain_AXT1PRE_203_6000635,6,t1,g1,0.011909723281860352
brain_AXT1PRE_203_6000635,7,t1,g1,0.008847177028656006
brain_AXT1PRE_203_6000635,8,t1,g1,0.012215197086334229
brain_AXT1PRE_203_6000635,9,t1,g1,0.012132883071899414
brain_AXT1PRE_200_6002276,0,t1,g1,0.013494610786437988
brain_AXT1PRE_200_6002276,1,t1,g1,0.010452449321746826
brain_AXT1PRE_200_6002276,2,t1,g1,0.03162193298339844
brain_AXT1PRE_200_6002276,3,t1,g1,0.021245360374450684
brain_AXT1PRE_200_6002276,4,t1,g1,0.01073312759399414
brain_AXT1PRE_200_6002276,5,t1,g1,0.010577917098999023
brain_AXT1PRE_200_6002276,6,t1,g1,0.009154677391052246
brain_AXT1PRE_200_6002276,7,t1,g1,0.013031721115112305
brain_AXT1PRE_200_6002276,8,t1,g1,0.012275338172912598
brain_AXT1PRE_200_6002276,9,t1,g1,0.011545181274414062
brain_AXT1PRE_200_6002147,0,t1,g1,0.018061041831970215
brain_AXT1PRE_200_6002147,1,t1,g1,0.04396069049835205
brain_AXT1PRE_200_6002147,2,t1,g1,0.042690157890319824
brain_AXT1PRE_200_6002147,3,t1,g1,0.046193480491638184
brain_AXT1PRE_200_6002147,4,t1,g1,0.006874382495880127
brain_AXT1PRE_200_6002147,5,t1,g1,0.028326034545898438
brain_AXT1PRE_200_6002147,6,t1,g1,0.007990837097167969
brain_AXT1PRE_200_6002147,7,t1,g1,0.019382357597351074
brain_AXT1PRE_200_6002147,8,t1,g1,0.010074734687805176
brain_AXT1PRE_200_6002147,9,t1,g1,0.010677814483642578
brain_AXT1PRE_200_6002199,0,t1,g1,0.0355488657951355
brain_AXT1PRE_200_6002199,1,t1,g1,0.008364558219909668
brain_AXT1PRE_200_6002199,2,t1,g1,0.005735278129577637
brain_AXT1PRE_200_6002199,3,t1,g1,0.009474694728851318
brain_AXT1PRE_200_6002199,4,t1,g1,0.015018165111541748
brain_AXT1PRE_200_6002199,5,t1,g1,0.012528479099273682
brain_AXT1PRE_200_6002199,6,t1,g1,0.012393355369567871
brain_AXT1PRE_200_6002199,7,t1,g1,0.008854031562805176
brain_AXT1PRE_200_6002199,8,t1,g1,0.01096886396408081
brain_AXT1PRE_200_6002199,9,t1,g1,0.003875553607940674
brain_AXT1PRE_200_6002131,0,t1,g1,0.03441047668457031
brain_AXT1PRE_200_6002131,1,t1,g1,0.008696973323822021
brain_AXT1PRE_200_6002131,2,t1,g1,0.011257290840148926
brain_AXT1PRE_200_6002131,3,t1,g1,0.007424831390380859
brain_AXT1PRE_200_6002131,4,t1,g1,0.009939908981323242
brain_AXT1PRE_200_6002131,5,t1,g1,0.012189924716949463
brain_AXT1PRE_200_6002131,6,t1,g1,0.01469111442565918
brain_AXT1PRE_200_6002131,7,t1,g1,0.01451122760772705
brain_AXT1PRE_200_6002131,8,t1,g1,0.023069143295288086
brain_AXT1PRE_200_6002131,9,t1,g1,0.013631999492645264
brain_AXT1PRE_200_6002226,0,t1,g1,0.029576778411865234
brain_AXT1PRE_200_6002226,1,t1,g1,0.06710553169250488
brain_AXT1PRE_200_6002226,2,t1,g1,0.009375989437103271
brain_AXT1PRE_200_6002226,3,t1,g1,0.014450430870056152
brain_AXT1PRE_200_6002226,4,t1,g1,0.01860630512237549
brain_AXT1PRE_200_6002226,5,t1,g1,0.020974040031433105
brain_AXT1PRE_200_6002226,6,t1,g1,0.00790315866470337
brain_AXT1PRE_200_6002226,7,t1,g1,0.016022562980651855
brain_AXT1PRE_200_6002226,8,t1,g1,0.003915548324584961
brain_AXT1PRE_200_6002226,9,t1,g1,0.00693058967590332
brain_AXT1PRE_200_6002076,0,t1,g1,0.042144715785980225
brain_AXT1PRE_200_6002076,1,t1,g1,0.017149388790130615
brain_AXT1PRE_200_6002076,2,t1,g1,0.03899866342544556
brain_AXT1PRE_200_6002076,3,t1,g1,0.021432042121887207
brain_AXT1PRE_200_6002076,4,t1,g1,0.005900323390960693
brain_AXT1PRE_200_6002076,5,t1,g1,0.01448601484298706
brain_AXT1PRE_200_6002076,6,t1,g1,0.011473774909973145
brain_AXT1PRE_200_6002076,7,t1,g1,0.007590115070343018
brain_AXT1PRE_200_6002076,8,t1,g1,0.011417508125305176
brain_AXT1PRE_200_6002076,9,t1,g1,0.011135220527648926
brain_AXT1PRE_200_6002207,0,t1,g1,0.01660299301147461
brain_AXT1PRE_200_6002207,1,t1,g1,0.04351609945297241
brain_AXT1PRE_200_6002207,2,t1,g1,0.0056188106536865234
brain_AXT1PRE_200_6002207,3,t1,g1,0.024554073810577393
brain_AXT1PRE_200_6002207,4,t1,g1,0.021465599536895752
brain_AXT1PRE_200_6002207,5,t1,g1,0.015255570411682129
brain_AXT1PRE_200_6002207,6,t1,g1,0.013976693153381348
brain_AXT1PRE_200_6002207,7,t1,g1,0.018159031867980957
brain_AXT1PRE_200_6002207,8,t1,g1,0.007956326007843018
